pm10,pm25,so2,co,o3,no2,categori
55,95,37,9,27,20,SEDANG
53,85,32,---,36,22,SEDANG
64,107,43,31,30,26,TIDAK SEHAT
72,118,57,26,33,24,TIDAK SEHAT
42,68,49,7,37,22,SEDANG
55,93,38,9,28,20,SEDANG
50,79,41,6,26,18,SEDANG
56,93,40,11,26,20,SEDANG
57,91,40,10,29,26,SEDANG
47,72,41,15,26,23,SEDANG
59,93,41,9,37,24,SEDANG
47,77,22,9,27,15,SEDANG
41,69,29,7,23,11,SEDANG
42,69,34,7,25,12,SEDANG
50,77,40,10,19,24,SEDANG
54,90,25,14,21,25,SEDANG
37,67,19,11,29,20,SEDANG
50,82,21,20,31,32,SEDANG
43,74,21,8,30,14,SEDANG
33,58,17,6,38,6,SEDANG
40,72,23,8,38,8,SEDANG
53,89,29,9,38,13,SEDANG
50,83,27,8,36,10,SEDANG
65,115,25,14,31,13,TIDAK SEHAT
51,81,25,7,32,6,SEDANG
51,81,24,10,25,13,SEDANG
39,69,23,8,28,8,SEDANG
45,75,22,10,29,13,SEDANG
30,56,24,7,39,12,SEDANG
51,82,22,15,26,24,SEDANG
51,87,26,8,28,16,SEDANG
50,84,25,13,26,24,SEDANG
52,90,21,14,30,21,SEDANG
63,109,24,23,27,40,TIDAK SEHAT
64,108,25,17,30,25,TIDAK SEHAT
44,70,24,9,30,22,SEDANG
48,79,34,7,24,17,SEDANG
34,61,32,5,20,11,SEDANG
49,77,37,8,20,19,SEDANG
54,88,37,11,19,29,SEDANG
46,66,24,15,18,29,SEDANG
52,82,21,11,27,18,SEDANG
59,83,22,18,19,35,SEDANG
59,84,21,20,24,38,SEDANG
54,76,22,20,17,41,SEDANG
63,87,20,13,14,30,SEDANG
59,79,23,20,19,38,SEDANG
59,83,22,15,19,32,SEDANG
52,72,24,13,28,31,SEDANG
58,80,26,16,24,38,SEDANG
58,77,24,14,23,34,SEDANG
66,89,23,23,18,47,SEDANG
59,77,22,15,23,40,SEDANG
57,77,24,17,27,35,SEDANG
51,70,23,14,25,25,SEDANG
